"42/372 EDGECLIFF ROAD ","WOOLLAHRA","NSW","2025","Unit","2","1","1","80","63","1980","Not Disclosed","31 Aug 2026","-","Pending Settlement Advice","LJ Hooker Double Bay"
"19/11-19 NEWCASTLE STREET ","ROSE BAY","NSW","2029","Unit: Standard","3","2","1","1,623","131","2001","Not Disclosed","31 Aug 2026","-","Pending Settlement Advice","Ray White Double Bay"
"903/226 VICTORIA STREET ","POTTS POINT","NSW","2011","Unit: Standard","2","3","1","188","114","2018","Not Disclosed","29 Aug 2026","-","Pending Settlement Advice","Highland Property Double Bay"
"11/8 BENNETTS GROVE AVENUE ","PADDINGTON","NSW","2021","Unit: Standard","1","1","-","48","80","1970","Not Disclosed","29 Aug 2026","-","Pending Settlement Advice","Bresic Whitney Darlinghurst"
"221A BOYCE LANE ","MAROUBRA","NSW","2035","House: One Storey / Lowset","5","3","2","327","229","2005","Not Disclosed","29 Aug 2026","-","Pending Settlement Advice","Ray White Eastern Beaches Coogee"
"49-51 THE CAUSEWAY ","MAROUBRA","NSW","2035","Other","-","-","-","728","-","-","Not Disclosed","29 Aug 2026","-","Pending Settlement Advice","Ray White Eastern Beaches Coogee"
"20/67-69 MACLEAY STREET ","POTTS POINT","NSW","2011","Unit: Standard","1","1","-","58","41","1999","$885,000","28 Aug 2026","-","Pending Settlement Advice","Laing + Simmons East Group"
"2/21 ST NEOT AVENUE ","POTTS POINT","NSW","2011","Unit","1","1","-","46","49","1930","Not Disclosed","28 Aug 2026","-","Pending Settlement Advice","Ray White Centennial Park"
"3/114 VICTORIA STREET ","POTTS POINT","NSW","2011","Unit: Standard","1","1","-","185","30","1880","$568,000","28 Aug 2026","-","Pending Settlement Advice","Richardson & Wrench Elizabeth Bay / Potts Point"
"15/8A WYLDE STREET ","POTTS POINT","NSW","2011","Unit: Standard","3","2","1","3,219","140","1936","Not Disclosed","28 Aug 2026","-","Pending Settlement Advice","Ppd Real Estate"
"176 HARGRAVE STREET ","PADDINGTON","NSW","2021","House","3","1","-","129","-","-","$3,100,000","28 Aug 2026","-","Pending Settlement Advice","McGrath Paddington (Nsw)"
"23 UNION STREET ","PADDINGTON","NSW","2021","House: Terrace","2","1","-","92","98","-","$2,400,000","28 Aug 2026","-","Pending Settlement Advice","McGrath Paddington (Nsw)"
"24F/3-17 DARLING POINT ROAD ","DARLING POINT","NSW","2027","Unit: Standard","3","2","3","9,259","86","1970","Not Disclosed","28 Aug 2026","-","Pending Settlement Advice","Ray White Double Bay"
"7/3 ILUKA STREET ","ROSE BAY","NSW","2029","Unit: Standard","2","1","-","71","71","1930","Not Disclosed","28 Aug 2026","-","Pending Settlement Advice","Trg"
"41 THE AVENUE ","ROSE BAY","NSW","2029","House","4","3","1","239","202","-","Not Disclosed","28 Aug 2026","-","Pending Settlement Advice","Ray White Double Bay"
"21/144-158 ALISON ROAD ","RANDWICK","NSW","2031","Unit: Standard","2","1","1","93","63","1998","$1,300,000","28 Aug 2026","-","Pending Settlement Advice","Belle Property Randwick"
"18/4 MACLEAY STREET ","POTTS POINT","NSW","2011","Unit","1","1","-","727","52","1930","$917,250","27 Aug 2026","-","Pending Settlement Advice","Richardson & Wrench Elizabeth Bay / Potts Point"
"309/2 SPRINGFIELD AVENUE ","POTTS POINT","NSW","2011","Unit","2","1","-","-","-","-","$1,468,000","27 Aug 2026","-","Pending Settlement Advice","Richardson & Wrench Elizabeth Bay / Potts Point"
"31/110 WELLINGTON STREET ","WATERLOO","NSW","2017","Unit: Standard","2","2","1","2,410","76","2002","$850,000","27 Aug 2026","-","Pending Settlement Advice","Eastside Realty"
"54 STEWART STREET ","PADDINGTON","NSW","2021","House: One Storey / Lowset","4","1","-","150","-","-","$3,965,000","27 Aug 2026","-","Pending Settlement Advice","McGrath Paddington (Nsw)"
"9/247-249 O'SULLIVAN ROAD ","BELLEVUE HILL","NSW","2023","Unit: Standard","3","2","2","1,672","143","2004","Not Disclosed","27 Aug 2026","-","Pending Settlement Advice","Ray White Double Bay"
"31 WUNULLA ROAD ","POINT PIPER","NSW","2027","House","4","4","2","1,449","-","-","Not Disclosed","27 Aug 2026","-","Pending Settlement Advice","Richardson & Wrench Double Bay"
"10/24 MANION AVENUE ","ROSE BAY","NSW","2029","Unit: Standard","2","1","-","632","72","1940","Not Disclosed","27 Aug 2026","-","Pending Settlement Advice","Trg"
"12/11 NORTON AVENUE ","ROSE BAY","NSW","2029","Unit","1","1","1","-","52","2016","Not Disclosed","27 Aug 2026","-","Pending Settlement Advice","Wiesner Property"
"16 COBHAM STREET ","MAROUBRA","NSW","2035","House: One Storey / Lowset","2","1","2","303","90","-","Not Disclosed","27 Aug 2026","-","Pending Settlement Advice","Ray White Eastern Beaches Coogee"
"13/230 MAROUBRA ROAD ","MAROUBRA","NSW","2035","Unit: Townhouse/Villa","1","1","1","4,119","-","-","$1,078,000","27 Aug 2026","-","Pending Settlement Advice","Australian Unity"
"4/4 UNDERWOOD STREET ","PADDINGTON","NSW","2021","Unit: Standard","2","1","1","117","82","1980","$1,385,000","26 Aug 2026","-","Pending Settlement Advice","Bresic Whitney Darlinghurst"
"2/159 VICTORIA ROAD ","BELLEVUE HILL","NSW","2023","Unit: Standard","4","2","2","426","272","2008","Not Disclosed","26 Aug 2026","-","Pending Settlement Advice","Levy Property Group"
"15 CHARMAN AVENUE ","MAROUBRA","NSW","2035","House: Duplex","4","3","2","231","194.57","1930","Not Disclosed","26 Aug 2026","-","Pending Settlement Advice","Belle Property Randwick"
"276 STOREY STREET ","MAROUBRA","NSW","2035","House","5","3","2","547","-","1980","Not Disclosed","26 Aug 2026","-","Pending Settlement Advice","Ngfarah Malabar"
"42/20-22 SPRINGFIELD AVENUE ","POTTS POINT","NSW","2011","Unit: Studio","-","1","-","730","19","1930","$380,000","25 Aug 2026","-","Pending Settlement Advice","Bresic Whitney Darlinghurst"
"326/349 GEORGE STREET ","WATERLOO","NSW","2017","Unit: Standard","2","2","-","114","87.5","2016","$1,100,000","25 Aug 2026","-","Pending Settlement Advice","Bresic Whitney Inner West"
"C309/5 HUNTER STREET ","WATERLOO","NSW","2017","Unit: Standard","3","2","-","-","-","-","$1,400,000","25 Aug 2026","-","Pending Settlement Advice","Richardson & Wrench Alexandria/Waterloo"
"1/339-343 OXFORD STREET ","PADDINGTON","NSW","2021","Commercial: Retail Building","-","-","-","252","-","1978","$935,000","25 Aug 2026","-","Pending Settlement Advice","Ray White Kingsgrove"
"11/16-18 ROSEMONT AVENUE ","WOOLLAHRA","NSW","2025","Unit: Townhouse/Villa","3","2","2","-","-","-","Not Disclosed","25 Aug 2026","-","Pending Settlement Advice","Bresic Whitney Darlinghurst"
"42/53-63 PENKIVIL STREET ","BONDI","NSW","2026","Unit: Standard","2","1","1","3,092","76","1978","Not Disclosed","25 Aug 2026","-","Pending Settlement Advice","Trg"
"6/34 HAMILTON STREET ","ROSE BAY","NSW","2029","Unit: Standard","2","2","1","113","102","2019","Not Disclosed","25 Aug 2026","-","Pending Settlement Advice","Ray White Double Bay"
"1/15 WILLIAM STREET ","ROSE BAY","NSW","2029","Unit: Townhouse/Villa","3","2","1","172","113","1990","Not Disclosed","25 Aug 2026","-","Pending Settlement Advice","Trg"
"104 FERN STREET ","RANDWICK","NSW","2031","House","3","1","-","205","122","1920","Not Disclosed","25 Aug 2026","-","Pending Settlement Advice","Ppd Real Estate"
"11/89 BROOME STREET ","MAROUBRA","NSW","2035","Unit: Standard","2","1","1","1,162","66","1971","Not Disclosed","25 Aug 2026","-","Pending Settlement Advice","Prd Real Estate Perez Real Estate"
"7/295 MAROUBRA ROAD ","MAROUBRA","NSW","2035","Unit","2","1","2","773","81","1960","Not Disclosed","25 Aug 2026","-","Pending Settlement Advice","Belle Property Randwick"
"1106/1 LINK ROAD ","ZETLAND","NSW","2017","Unit","1","1","1","82","54","2017","Not Disclosed","24 Aug 2026","-","Pending Settlement Advice","McConnell Bourn - Lindfield"
"2/54A HOPEWELL STREET ","PADDINGTON","NSW","2021","Unit: Studio","-","1","-","1,076","-","1975","$380,000","24 Aug 2026","-","Pending Settlement Advice","Murray Property"
"628 OLD SOUTH HEAD ROAD ","ROSE BAY","NSW","2029","House: One Storey / Lowset","2","1","2","331","-","-","Not Disclosed","24 Aug 2026","-","Pending Settlement Advice","Trg"
"33/244-254 ALISON ROAD ","RANDWICK","NSW","2031","Unit: Standard","2","1","1","5,986","78","1976","Not Disclosed","24 Aug 2026","-","Pending Settlement Advice","Ray White Eastern Beaches Coogee"
"5 CHAPEL STREET ","RANDWICK","NSW","2031","House: One Storey / Lowset","4","2","1","300","196.24","1925","Not Disclosed","24 Aug 2026","-","Pending Settlement Advice","Ray White Eastern Beaches Coogee"
"301/717 ANZAC PARADE ","MAROUBRA","NSW","2035","Unit: Standard","1","1","1","70","58","2005","Not Disclosed","24 Aug 2026","-","Pending Settlement Advice","Richardson & Wrench Maroubra"
"214/747 ANZAC PARADE ","MAROUBRA","NSW","2035","Unit: Standard","1","1","1","79","-","2007","$685,000","24 Aug 2026","-","Pending Settlement Advice","Prd Real Estate Perez Real Estate"
"C202/5 HUNTER STREET ","WATERLOO","NSW","2017","Unit: Standard","1","1","-","-","-","-","$750,000","23 Aug 2026","-","Pending Settlement Advice","Richardson & Wrench Alexandria/Waterloo"
"53 ELIZABETH STREET ","PADDINGTON","NSW","2021","House","5","2","1","131","152","-","Not Disclosed","22 Aug 2026","-","Pending Settlement Advice","Whitefox Manly - Paddington"
"6/76-82 BELLEVUE ROAD ","BELLEVUE HILL","NSW","2023","Unit: Standard","3","2","2","279","-","2009","Not Disclosed","22 Aug 2026","-","Pending Settlement Advice","Ray White Double Bay"
"1/83 MONCUR STREET ","WOOLLAHRA","NSW","2025","Commercial: Retail Building","-","-","-","452","-","1920","Not Disclosed","22 Aug 2026","-","Pending Settlement Advice","Hart Estate Agents"
"25/260 ALISON ROAD ","RANDWICK","NSW","2031","Unit: Standard","2","1","1","11,403","63","1976","Not Disclosed","22 Aug 2026","-","Pending Settlement Advice","Highland Property Double Bay"
"12 CHICHESTER STREET ","MAROUBRA","NSW","2035","House","3","1","-","287","-","-","$2,316,000","22 Aug 2026","-","Pending Settlement Advice","Ppd Real Estate"
"9 WHITE AVENUE ","MAROUBRA","NSW","2035","House","4","3","1","264","162","1980","Not Disclosed","22 Aug 2026","-","Pending Settlement Advice","Ppd Real Estate"
"5B/356-368 GEORGE STREET ","WATERLOO","NSW","2017","Unit: Standard","1","1","-","75","57","2015","Not Disclosed","21 Aug 2026","-","Pending Settlement Advice","Highland Newtown"
"808/18 EBSWORTH STREET ","ZETLAND","NSW","2017","Unit: Standard","1","1","-","-","68","2017","$808,000","21 Aug 2026","-","Pending Settlement Advice","Real Estate Services By Mirvac"
"43/2 HUTCHINSON WALK ","ZETLAND","NSW","2017","Unit","2","2","1","1,214","88.23","2005","$1,015,000","21 Aug 2026","-","Pending Settlement Advice","Mgm Martin"
"63/2 LEVY WALK ","ZETLAND","NSW","2017","Unit: Standard","2","2","-","2,954","92","2004","Not Disclosed","21 Aug 2026","-","Pending Settlement Advice","Belle Property Surry Hills"
"3101/2 WOLSELEY GROVE ","ZETLAND","NSW","2017","Unit: Standard","1","1","1","5,439","64","2008","$730,000","21 Aug 2026","-","Pending Settlement Advice","Bresic Whitney Darlinghurst"
"5/150 OLD SOUTH HEAD ROAD ","BELLEVUE HILL","NSW","2023","Unit: Standard","3","1","1","1,196","85","1972","Not Disclosed","21 Aug 2026","-","Pending Settlement Advice","McGrath Maroubra"
"2/9 MANION AVENUE ","ROSE BAY","NSW","2029","Unit: Standard","2","1","-","802","83","1935","Not Disclosed","21 Aug 2026","-","Pending Settlement Advice","Raine & Horne Double Bay"
"7/156 MAROUBRA ROAD ","MAROUBRA","NSW","2035","Unit: Standard","2","1","2","847","79","2011","$930,000","21 Aug 2026","-","Pending Settlement Advice","Home Estate Agents"
"376B MAROUBRA ROAD ","MAROUBRA","NSW","2035","House: One Storey / Lowset","4","3","3","234","186","1920","Not Disclosed","21 Aug 2026","-","Pending Settlement Advice","Ray White Eastern Beaches Coogee"
"49/1 WRIDE STREET ","MAROUBRA","NSW","2035","Unit: Standard","3","2","-","7,032","135","1999","$2,100,000","21 Aug 2026","-","Pending Settlement Advice","Belle Property Randwick"
"802/12 PAUL STREET ","ZETLAND","NSW","2017","Unit: Standard","2","2","1","132","-","2019","$1,230,000","20 Aug 2026","-","Pending Settlement Advice","Element Realty Group"
"11/69 BIRRIGA ROAD ","BELLEVUE HILL","NSW","2023","Unit: Standard","2","1","1","1,325","90","1930","$1,540,000","20 Aug 2026","-","Pending Settlement Advice","Ray White Double Bay"
"11/69 BIRRIGA ROAD ","BELLEVUE HILL","NSW","2023","Unit: Standard","2","1","1","1,325","90","1930","$0","20 Jan 2026","20 Jan 2026","-","Ray White Double Bay"
"10/29-33 THE AVENUE ","ROSE BAY","NSW","2029","Unit: Standard","2","1","-","8,333","68","1967","Not Disclosed","20 Aug 2026","-","Pending Settlement Advice","Ppd Real Estate"
"9 MONMOUTH STREET ","RANDWICK","NSW","2031","House: One Storey / Lowset","4","2","-","232","246","1900","Not Disclosed","20 Aug 2026","-","Pending Settlement Advice","Ray White Double Bay"
"5/81 BROOME STREET ","MAROUBRA","NSW","2035","Unit: Standard","2","1","1","1,416","73","1970","$1,200,000","20 Aug 2026","-","Pending Settlement Advice","XS Property Group"
"30/67-69 MACLEAY STREET ","POTTS POINT","NSW","2011","Unit: Standard","1","1","-","644","43","1890","$900,000","19 Aug 2026","-","Pending Settlement Advice","Bresic Whitney Darlinghurst"
"525/810 ELIZABETH STREET ","WATERLOO","NSW","2017","Unit","2","2","1","5,575","-","2016","$1,203,000","19 Aug 2026","-","Pending Settlement Advice","Raine & Horne Green Square"
"1430/20 GADIGAL AVENUE ","ZETLAND","NSW","2017","Unit: Standard","2","2","-","125","90","2013","$1,050,000","19 Aug 2026","-","Pending Settlement Advice","-"
"537/20 GEORGE JULIUS AVENUE ","ZETLAND","NSW","2017","Unit: Standard","2","2","1","115","-","-","$1,262,500","19 Aug 2026","-","Pending Settlement Advice","Raine & Horne Green Square"
"19/142 OLD SOUTH HEAD ROAD ","BELLEVUE HILL","NSW","2023","Unit: Standard","2","1","-","88","71.59","1964","$1,240,000","19 Aug 2026","-","Pending Settlement Advice","Ray White Double Bay"
"402/140 MAROUBRA ROAD ","MAROUBRA","NSW","2035","Unit: Standard","2","2","-","134","93","2008","Not Disclosed","19 Aug 2026","-","Pending Settlement Advice","Richardson & Wrench Maroubra"
"58/830 BOURKE STREET ","WATERLOO","NSW","2017","Unit: Standard","1","1","-","2,672","85","2013","$760,000","18 Aug 2026","-","Pending Settlement Advice","Richardson & Wrench Alexandria/Waterloo"
"14/6B GRANDSTAND PARADE ","ZETLAND","NSW","2017","Unit: Standard","1","1","1","6,185","60","2003","$770,000","18 Aug 2026","-","Pending Settlement Advice","Mgm Martin"
"4/2 POWELL ROAD ","ROSE BAY","NSW","2029","Unit: Standard","2","1","-","519","88","1930","$1,590,000","18 Aug 2026","-","Pending Settlement Advice","Belle Property Surry Hills"
"7/6 ARCHIBALD AVENUE ","WATERLOO","NSW","2017","Unit: Standard","2","1","1","119","-","2012","$870,000","17 Aug 2026","-","Pending Settlement Advice","Richardson & Wrench Alexandria/Waterloo"
"305/2 ALBERT STREET ","RANDWICK","NSW","2031","Unit: Standard","3","2","-","33","115","2000","Not Disclosed","17 Aug 2026","-","Pending Settlement Advice","McGrath Estate Agents - Coogee"
"2/85 COWPER STREET ","RANDWICK","NSW","2031","Unit","1","1","-","74","49","1970","$942,000","17 Aug 2026","27 Aug 2026","-","McGrath Double Bay"
"6 MILLER STREET ","BONDI","NSW","2026","House: One Storey / Lowset","3","2","-","230","184","2019","$3,500,000","15 Aug 2026","-","Pending Settlement Advice","McGrath Double Bay"
"20/337 NEW SOUTH HEAD ROAD ","DOUBLE BAY","NSW","2028","Unit: Standard","3","2","2","7,553","187","1983","Not Disclosed","15 Aug 2026","-","Pending Settlement Advice","Ppd Real Estate"
"403/13-15 BAYSWATER ROAD ","POTTS POINT","NSW","2011","Unit: Standard","1","1","-","47","47","1920","$985,000","14 Aug 2026","-","Pending Settlement Advice","Richardson & Wrench Elizabeth Bay / Potts Point"
"16/143 BOTANY ROAD ","WATERLOO","NSW","2017","Unit: Standard","2","2","1","93","75","2016","Not Disclosed","14 Aug 2026","-","Pending Settlement Advice","Raine & Horne Green Square"
"649/2C DEFRIES AVENUE ","ZETLAND","NSW","2017","Unit: Standard","1","1","-","62","53","2014","$660,000","14 Aug 2026","-","Pending Settlement Advice","Mgm Martin"
"111/19 GEORGE JULIUS AVENUE ","ZETLAND","NSW","2017","Unit","3","2","2","185","116","2022","$1,680,000","14 Aug 2026","-","Pending Settlement Advice","JR Landing Green Square"
"54/2 LEVY WALK ","ZETLAND","NSW","2017","Unit: Standard","2","2","2","2,954","30","2004","$938,000","14 Aug 2026","-","Pending Settlement Advice","Mgm Martin"
"1006/1 LINK ROAD ","ZETLAND","NSW","2017","Unit: Standard","3","3","2","204","170","2017","Not Disclosed","14 Aug 2026","-","Pending Settlement Advice","Ray White Touma Taylor - Redfern"
"22/364-370 MOORE PARK ROAD ","PADDINGTON","NSW","2021","Unit: Studio","-","1","-","677","27","1930","Not Disclosed","14 Aug 2026","-","Pending Settlement Advice","Ray White Centennial Park"
"6/3-7 WILLIAM STREET ","ROSE BAY","NSW","2029","Unit: Standard","2","2","2","1,948","143","2001","Not Disclosed","14 Aug 2026","-","Pending Settlement Advice","Richardson & Wrench Bondi Junction"
"10/223 DARLEY ROAD ","RANDWICK","NSW","2031","Unit: Standard","2","1","-","106","69","1968","$1,420,000","14 Aug 2026","-","Pending Settlement Advice","Agents And Co Property Group"
"5/23 MARCEL AVENUE ","RANDWICK","NSW","2031","Unit: Standard","2","1","-","135","-","-","Not Disclosed","14 Aug 2026","-","Pending Settlement Advice","The Agency Eastern Suburbs"
"52 NEVORIE CRESCENT ","MAROUBRA","NSW","2035","House","2","1","-","250","100.05","1940","$2,050,000","14 Aug 2026","-","Pending Settlement Advice","Ray White Kingsford"
"1/38-40 KINGS CROSS ROAD ","POTTS POINT","NSW","2011","Unit: Standard","1","1","-","352","40","1920","$725,000","13 Aug 2026","-","Pending Settlement Advice","Belle Property Surry Hills"
"1506/15 LACHLAN STREET ","WATERLOO","NSW","2017","Unit: Standard","2","2","-","98","72","2018","$996,000","13 Aug 2026","-","Pending Settlement Advice","Home Estate Agents"
"4/73 NEW BEACH ROAD ","DARLING POINT","NSW","2027","Unit: Standard","2","1","2","379","97","1930","Not Disclosed","13 Aug 2026","-","Pending Settlement Advice","Bresic Whitney Darlinghurst"
"88-120 CLOVELLY ROAD ","RANDWICK","NSW","2031","Commercial: Retail Building","-","-","-","662","-","-","Not Disclosed","13 Aug 2026","-","Pending Settlement Advice","Trg Sales"
"406/97 BOYCE ROAD ","MAROUBRA","NSW","2035","Unit: Standard","1","1","-","69","-","2005","Not Disclosed","12 Aug 2026","-","Pending Settlement Advice","Eastside Realty"
"356-368 GEORGE STREET ","WATERLOO","NSW","2017","Unit: Standard","2","2","-","109","73","2015","$680,000","11 Aug 2026","-","Pending Settlement Advice","Global Re"
"1806/8 KINGSBOROUGH WAY ","ZETLAND","NSW","2017","Unit: Standard","1","1","-","62","53","2018","Not Disclosed","11 Aug 2026","-","Pending Settlement Advice","LJ Hooker Pyrmont"
"7 CECIL STREET ","PADDINGTON","NSW","2021","House","4","2","-","131","144","-","$2,650,000","11 Aug 2026","-","Pending Settlement Advice","Ppd Real Estate"
"6/59-65 CHESTER AVENUE ","MAROUBRA","NSW","2035","Unit","1","1","1","104","69","2017","Not Disclosed","11 Aug 2026","-","Pending Settlement Advice","Raine & Horne Maroubra"
"6A SIMS GROVE ","MAROUBRA","NSW","2035","Unit","3","3","2","530","173","2001","Not Disclosed","11 Aug 2026","-","Pending Settlement Advice","Ray White Eastern Beaches Coogee"
"404/81 MACLEAY STREET ","POTTS POINT","NSW","2011","Unit: Standard","1","1","1","3,275","61","2004","$1,550,000","10 Aug 2026","-","Pending Settlement Advice","Richardson & Wrench Elizabeth Bay & Potts Point"
"107/762-768 ELIZABETH STREET ","WATERLOO","NSW","2017","Unit","1","1","-","-","42","2013","$612,500","10 Aug 2026","-","Pending Settlement Advice","Richardson & Wrench Alexandria/Waterloo"
"18/42 FLINTON STREET ","PADDINGTON","NSW","2021","Unit: Standard","2","2","2","124","92","2001","Not Disclosed","10 Aug 2026","-","Pending Settlement Advice","Ray White Double Bay"
"29 ETHAM AVENUE ","DARLING POINT","NSW","2027","House","4","2","1","243","-","-","Not Disclosed","10 Aug 2026","-","Pending Settlement Advice","The Edge Property Agency"
"6A FOREST ROAD ","DOUBLE BAY","NSW","2028","House","3","2","2","208","134","2001","Not Disclosed","10 Aug 2026","-","Pending Settlement Advice","Laing & Simmons Double Bay"
"4/33-35 WILLIAM STREET ","ROSE BAY","NSW","2029","Unit: Standard","2","1","1","1,310","74","1966","Not Disclosed","10 Aug 2026","-","Pending Settlement Advice","Ray White Double Bay"
"43/195-199 AVOCA STREET ","RANDWICK","NSW","2031","Unit: Standard","2","1","1","108","82","1971","$1,465,000","10 Aug 2026","18 Aug 2026","-","-"
"210A/18 EBSWORTH STREET ","ZETLAND","NSW","2017","Unit","3","2","2","206","109","2017","$2,100,000","09 Aug 2026","12 Aug 2026","-","-"
"22/12 WYLDE STREET ","POTTS POINT","NSW","2011","Unit: Standard","1","1","-","930","45","1968","$800,000","08 Aug 2026","-","Pending Settlement Advice","Bresic Whitney Darlinghurst"
"11/12 TUSCULUM STREET ","POTTS POINT","NSW","2011","Unit: Standard","1","1","-","133","33","1930","$625,000","07 Aug 2026","-","Pending Settlement Advice","Ray White Taylor And Partners"
"102/17 GADIGAL AVENUE ","ZETLAND","NSW","2017","Unit: Standard","1","1","-","59","50","2011","$640,000","07 Aug 2026","-","Pending Settlement Advice","Mgm Martin"
"102/8 ROSE VALLEY WAY ","ZETLAND","NSW","2017","Unit","2","2","1","127","94","2017","$930,000","07 Aug 2026","-","Pending Settlement Advice","Mgm Martin"
"3509/2 WOLSELEY GROVE ","ZETLAND","NSW","2017","Unit: Standard","2","2","-","5,439","92","2008","$1,060,000","07 Aug 2026","-","Pending Settlement Advice","Mgm Martin"
"2/15 WEEROONA AVENUE ","WOOLLAHRA","NSW","2025","Unit","2","2","1","162","-","-","$4,000,000","07 Aug 2026","14 Aug 2026","-","Raine & Horne Double Bay"
"5/28 WILLIAM STREET ","DOUBLE BAY","NSW","2028","Unit","2","1","-","90","81","1935","$1,860,000","07 Aug 2026","10 Aug 2026","-","Ppd Real Estate"
"2/24-28 LIVERPOOL STREET ","ROSE BAY","NSW","2029","Unit","4","2","2","897","202","2000","$750,000","07 Aug 2026","20 Aug 2026","-","-"
"201/30 NEWCASTLE STREET ","ROSE BAY","NSW","2029","Unit: Standard","3","3","2","1,230","-","-","Not Disclosed","07 Aug 2026","-","Pending Settlement Advice","Ray White Double Bay"
"201/30-32 NEWCASTLE STREET ","ROSE BAY","NSW","2029","Unit: Standard","3","3","2","407","-","-","Not Disclosed","07 Aug 2026","-","Pending Settlement Advice","Ray White Double Bay"
"36/65-69 AVOCA STREET ","RANDWICK","NSW","2031","Unit: Standard","2","1","1","97","73.92","1968","Not Disclosed","07 Aug 2026","-","Pending Settlement Advice","Ppd Real Estate"
"2/12-14 BELMORE ROAD ","RANDWICK","NSW","2031","Unit","1","1","1","391","50","2017","Not Disclosed","07 Aug 2026","-","Pending Settlement Advice","Primus Real Estate"
"504/2 ROSCREA AVENUE ","RANDWICK","NSW","2031","Unit","2","1","-","94","65","1981","$1,200,000","07 Aug 2026","17 Aug 2026","-","-"
"51 MAROUBRA ROAD ","MAROUBRA","NSW","2035","House: Duplex","3","2","-","360","140","-","$2,040,000","07 Aug 2026","-","Pending Settlement Advice","Christie's International Real Estate Nsw"
"2/410 MAROUBRA ROAD ","MAROUBRA","NSW","2035","Unit: Standard","2","1","1","601","67","1978","Not Disclosed","07 Aug 2026","-","Pending Settlement Advice","Home Estate Agents"
"1/18 NEW ORLEANS CRESCENT ","MAROUBRA","NSW","2035","Unit: Standard","1","1","1","78","62","2017","$695,000","07 Aug 2026","-","Pending Settlement Advice","Prd Real Estate Perez Real Estate"
"16/165-167 VICTORIA STREET ","POTTS POINT","NSW","2011","Unit","1","1","-","-","47","1930","$800,000","06 Aug 2026","-","Pending Settlement Advice","Ray White Eastern Beaches"
"40-46 MCEVOY STREET ","WATERLOO","NSW","2017","Unit: Standard","1","1","1","7,148","-","-","Not Disclosed","06 Aug 2026","-","Pending Settlement Advice","Aupac International"
"513/46 MCEVOY STREET ","WATERLOO","NSW","2017","Unit: Standard","2","2","-","7,148","81","2015","Not Disclosed","06 Aug 2026","-","Pending Settlement Advice","Burwood Regal Realty"
